"","AlignID","tmean","FoundIn","Name.1","MatchFactor.1","DB.Id.1","CAS.1","Formula.1","Name.2","MatchFactor.2","DB.Id.2","CAS.2","Formula.2","Name.3","MatchFactor.3","DB.Id.3","CAS.3","Formula.3","Name.4","MatchFactor.4","DB.Id.4","CAS.4","Formula.4","Name.5","MatchFactor.5","DB.Id.5","CAS.5","Formula.5","Name.6","MatchFactor.6","DB.Id.6","CAS.6","Formula.6","Name.7","MatchFactor.7","DB.Id.7","CAS.7","Formula.7","Name.8","MatchFactor.8","DB.Id.8","CAS.8","Formula.8","Name.9","MatchFactor.9","DB.Id.9","CAS.9","Formula.9","Name.10","MatchFactor.10","DB.Id.10","CAS.10","Formula.10","Cory_Mreu_Rep1_6262023_32","Cory_Mreu_Rep2_6262023_33","Strl_Rep1_6302023_20","Strl_Rep1_6302023_14","VialBlank_6262023_31"
"207",208,1.695,2,"Acetamide, 2-amino-","85.32","   719","598414","C2H6N2O","Urea, N-ethyl-N-nitroso-","84.92","  7757","759739","C3H7N3O2","Ethyl aminomethylformimidate","83.30","  3889","1000130304","C4H10N2O","Ethanol, 2-[(2-aminoethyl)amino]-","82.69","  4324","111411","C4H12N2O","dl-Homoserine","82.59","  8294","1927259","C4H9NO3","Acetamide, 2-amino-","82.23","   720","598414","C2H6N2O","Succinamic acid","82.07","  7768","638324","C4H7NO3","Ethanol, 2-(hexylamino)-","82.01"," 19292","54596699","C8H19NO","Ethanol, 2-[(2-aminoethyl)amino]-","81.56","  4323","111411","C4H12N2O","Ethanol, 2-[(2-aminoethyl)amino]-","81.56","  4325","111411","C4H12N2O",0,0,0,0,0
"208",209,1.7925,2,"2-Propenenitrile","98.98","   115","107131","C3H3N","2-Propenenitrile","98.79","   116","107131","C3H3N","2-Propenenitrile","97.43","   117","107131","C3H3N",".beta.-[3-[N-Aziridyl]propyl]aminopropionitrile","95.94"," 23917","1000257034","C8H15N3","1,1-Dicyanoethane","89.44","   945","3696364","C4H4N2","[1,2,3,4]Tetrazolo[1,5-a]pyridin-8-ol","86.29"," 14548","7477067","C5H4N4O","Butanedinitrile","85.25","   942","110612","C4H4N2","1,1-Dicyanoethane","85.22","   946","3696364","C4H4N2","Butanedinitrile","84.45","   944","110612","C4H4N2","Butanedinitrile","83.44","   943","110612","C4H4N2",0,0,0,0,0
"209",210,1.73,4,"1,3-Dioxolane, 2-heptyl-4-phenyl-","73.95"," 86000","55668401","C16H24O2","5,6,11,11a,17b,18-Hexahydro-5,18","61.74","181113","120524212","C42H28",".+/-.-8-Oxocephalotaxine","60.72","136261","114942846","C18H19NO5","5-(4-Propyonyloxyphenyl)-10,15,20-tri(4-pyridyl)-21H,23H-porphine","60.68","183422","133536002","C44H31N7O2","1,16-Cyclocorynan-17-oic acid, 19,20-didehydro-, methyl ester, (16S,19E)-","60.44","132320","6393664","C20H22N2O2","Krypton","59.97","  1398","7439909","Kr","2H-1,4-Benzoxazin-3(4H)-one, 7-methyl-6-(1-piperidinylsulfonyl)-","57.96","124735","1000319922","C14H18N2O4S","(.+/-.)-Karachine","57.94","172467","80908027","C26H27NO5","Cyclopentanemethanol, 1-amino-","57.10","  7209","10316797","C6H13NO","Cyclopentanemethanol, 1-amino-","56.86","  7203","10316797","C6H13NO",0,0,0,0,0
"210",211,2.0462,61,"2-Butanone","99.34","   592","78933","C4H8O","2-Butanone","99.17","   593","78933","C4H8O","2-Butanone","99.16","   595","78933","C4H8O","2-Butanone","98.39","   594","78933","C4H8O","N-tert-Butylmethylamine","97.43","  1771","14610378","C5H13N","Dimepheptanol","97.42","125769","545904","C21H29NO","D-2-Aminobutyric acid, N-methyl-, methyl ester","97.30"," 12637","1000332991","C6H13NO2","L-2-Aminobutyric acid, N-methyl-, methyl ester","97.28"," 12636","1000332987","C6H13NO2","5,9-Dodecadien-2-one, 6,10-dimethyl-, (E,E))-","96.72"," 59705","1000132109","C14H24O","1,3-Cyclobutanediol, 2,2,4,4-tetramethyl-","96.49"," 18881","3010966","C8H16O2",0,0,138507,0,0
"211",212,2.2341,17,"2-Butanone","98.90","   595","78933","C4H8O","2-Butanone","98.82","   592","78933","C4H8O","2-Butanone","98.47","   593","78933","C4H8O","2-Butanone","97.98","   594","78933","C4H8O","1,3-Cyclobutanediol, 2,2,4,4-tetramethyl-","97.87"," 18881","3010966","C8H16O2","5,9-Dodecadien-2-one, 6,10-dimethyl-, (E,E))-","96.45"," 59705","1000132109","C14H24O","2-Ethyldodecanal","96.05","184132","33861-29-9","C14H28O","N-tert-Butylmethylamine","96.02","  1771","14610378","C5H13N","2-Hexanone, 3,4-dimethyl-","95.99"," 11419","19550108","C8H16O","D-2-Aminobutyric acid, N-methyl-, methyl ester","95.78"," 12637","1000332991","C6H13NO2",0,0,0,183358,0
"212",213,2.0212,4,"1,3-Propanediol, 2-(hydroxymethyl)-2-methyl-","96.17","  8480","77850","C5H12O3","2-Ethylhexanal","95.84"," 11276","1000411447","C8H16O","Hexanal, 2-ethyl-","95.70"," 11280","123057","C8H16O","Hexanal, 2-ethyl-","95.47"," 11282","123057","C8H16O","Heptane, 1-(1-butenyloxy)-, (Z)-","95.39"," 34471","56052790","C11H22O","Heptane, 1-(1-butenyloxy)-, (E)-","95.22"," 34472","56052803","C11H22O","1,3-Propanediol, 2-(hydroxymethyl)-2-methyl-","95.10","  8479","77850","C5H12O3","Hexanal, 2-ethyl-","95.09"," 11283","123057","C8H16O","1,3-Propanediol, 2-(hydroxymethyl)-2-methyl-","94.98","  8478","77850","C5H12O3","Hexanal, 2-ethyl-","94.56"," 11281","123057","C8H16O",0,0,0,0,0
"213",214,2.1656,9,"Dimepheptanol","98.23","125769","545904","C21H29NO","Atenolol","97.74"," 96992","29122687","C14H22N2O3","Ethylamine, N-methyl-N-hexadecyl-","97.59","108315","66997408","C19H41N","Benzyl alcohol, .alpha.-(1-(dimethylamino)ethyl)-","97.56"," 40006","17605719","C11H17NO","N,N-dimethyl-4-tert-butylamphetamine","97.56"," 66738","1000378905","C15H25N","dl-2-Amino-1-pentanol","97.56","  4259","4146047","C5H13NO","Alprenolol","97.51"," 86503","13655522","C15H23NO2","Formamide, N-[4-[2-hydroxy-3-[(1-methylethyl)amino]propoxy]phenyl]-","97.49"," 88168","19314988","C13H20N2O3","Methadone","97.48","124608","76993","C21H27NO","Alprenolol","97.46"," 86506","13655522","C15H23NO2",0,0,0,0,0
"214",215,1.8475,2,"1-(2-Ethoxyethoxy)-2-(vinyloxy)-ethane","91.91"," 28056","10143530","C8H16O3","Benzeneacetic acid, .alpha.-[[[(dimethylamino)carbonyl]methylamino]carbonyl]-.alpha.-ethyl-, methyl ester","91.04","122383","42948663","C16H22N2O4","Dimethylcarbamic acid [2-methoxy-4-[(1H-tetrazol-5-yl)hydrazonomethyl]phenyl] ester","90.04","121766","1000302252","C12H15N7O3","S-[4-Cyanophenyl]-N,N-dimethylthiocarbamate","90.00"," 57549","19290438","C10H10N2OS","Carbamic acid, N,N-dimethyl-, [1,4-dimethyl-3-(2-thienyl)-pyrazolo[3,4-b]pyridin-6-yl] ester","89.99","128624","1000268056","C15H16N4O2S","1,4-Benzenedithiol, 2,5-bis(ethoxycarbonyl)-, bis(dimethylthiocarbamate)","89.93","171517","25906676","C18H24N2O6S2","Diamide","89.92"," 35847","10465788","C6H12N4O2","Isolan","89.89"," 61468","119380","C10H17N3O2","3-(4-Methoxyphenyl)-4-oxochromen-7-yl N,N-dimethylcarbamate","89.86","141575","1000410233","C19H17NO5","Diamide","89.82"," 35846","10465788","C6H12N4O2",0,0,0,0,0
"215",216,1.865,2,"Butane, 1,1,3-trimethoxy-","91.11"," 20713","10138893","C7H16O3","4,4-Dimethoxy-2-methyl-2-butanol","87.49"," 20718","31525674","C7H16O3","Ethanethioic acid, S-[1-(methylthio)ethyl] ester","86.33"," 21680","38634605","C5H10OS2","Disulfide, bis[1-(methylthio)ethyl]","84.03"," 63844","69078779","C6H14S4","Ethane, 1,1,2-trimethoxy-","83.78","  8467","24332205","C5H12O3","Ethane, 1,1,2-trimethoxy-","83.44","  8465","24332205","C5H12O3","Ethane, 1,1'-oxybis[2,2-dimethoxy-","82.70"," 50289","78082469","C8H18O5","2-Octanol, 8,8-dimethoxy-2,6-dimethyl-","82.34"," 65914","141924","C12H26O3","Methyl 3,3-dimethoxypropionate","82.16"," 20655","7424911","C6H12O4","2-Azabutane, N-amidino-4,4-dimethoxy-","81.22"," 28440","52737414","C6H15N3O2",0,0,0,0,0
"216",217,1.9782,19,"1-Pentene, 2-methyl-","96.85","  1363","763291","C6H12","Hexane, 1-methoxy-","96.85","  7655","4747073","C7H16O","Formic acid, hexyl ester","96.26"," 12160","629334","C7H14O2","Formic acid, hexyl ester","95.88"," 12168","629334","C7H14O2","Hexane, 1-methoxy-","95.70","  7663","4747073","C7H16O","1-Hexanol","95.64","  4085","111273","C6H14O","Cyclopentane, methyl-","95.45","  1366","96377","C6H12","1-Hexanol","95.16","  4087","111273","C6H14O","Heptane, 4-methylene-","94.90","  6104","15918088","C8H16","Decane, 4-methylene-","94.80"," 24469","24949415","C11H22",0,0,65986,0,0
"217",218,2.0005,11,"Cyclobuta[1,2-d","97.93"," 35866","110549423","C6H4O6","Diethylaminoethyl acrylate","96.83"," 35302","2426542","C9H17NO2","2-(2-Diethylamino-ethoxy)-fluoren-9-one","96.81","115753","54153310","C19H21NO2","Cyclohexyl-hydroxy-phenyl-acetic acid 3-diethylamino-2-hydroxy-propyl ester","96.71","152961","1000274371","C21H33NO4","2-Imidazolidinone","96.68","  1475","120934","C3H6N2O","2-Imidazolidinone","96.68","  1472","120934","C3H6N2O","4-[[2-[Diethylamino]ethyl]methylamino]-7-nitrobenzofurazan","96.65","114349","1000251029","C13H19N5O3","4-Methoxy-2-nitro-N-[.beta.-diethylaminoethyl]aniline","96.59"," 97692","6592412","C13H21N3O3","Propanedinitrile, 1-(1-cyclopenten-3-on-1-yl)-1-(1,4-dioxaspiro[4.5]dec-7-en-8-yl)-","96.59","108665","1000161281","C16H16N2O3","Diethyl-(6-m-tolyloxy-hexyl)-amine","96.57"," 95476","331857955","C17H29NO",0,0,0,0,0
"218",219,1.9925,10,"1,3,5-benzenetricarboxylic acid, tris[2-[(1-oxo-2-propen-1-yl)oxy]ethyl] ester","92.47","179987","1000402931","C24H24O12","1-Methylallyl diisopropylcarbamate","84.87"," 53281","130135783","C11H21NO2","Cyclobutanecarboxamide, N,N-dibutyl-","83.00"," 61606","1000308596","C13H25NO","2-Propenoic acid, 2-hydroxypropyl ester","82.89"," 12069","999611","C6H10O3","Morpholine, 4-[3-[(1-methyl-1H-1,2,3,4-tetrazol-5-yl)thio]-1-oxopropyl]-","82.81"," 91915","1000350191","C9H15N5O2S","2-Propenoic acid, 2-hydroxypropyl ester","82.71"," 12067","999611","C6H10O3","Methyl vinyl ketone","81.84","   487","78944","C4H6O","Methyl vinyl ketone","81.58","   484","78944","C4H6O","Cyclobutanecarboxylic acid, morpholide","81.08"," 34001","1000307044","C9H15NO2","3-[N-Aziridyl]propionyl hydrazide","80.91"," 11618","1000254895","C5H11N3O",0,0,0,0,0
"219",220,2.183,5,"1,3,5-benzenetricarboxylic acid, tris[2-[(1-oxo-2-propen-1-yl)oxy]ethyl] ester","93.20","179987","1000402931","C24H24O12","Cyclobutanecarboxamide, N,N-dibutyl-","90.65"," 61606","1000308596","C13H25NO","Cyclobuta[1,2-d","89.65"," 35866","110549423","C6H4O6","1-Deoxy-2,4","89.08"," 27955","75096376","C7H12O4","Diethylaminoethyl acrylate","85.49"," 35299","2426542","C9H17NO2","2-Propenamide, N,N-bis(1-methylethyl)-","84.27"," 25383","44975464","C9H17NO","Diethylaminoethyl acrylate","84.13"," 35302","2426542","C9H17NO2","N-Methoxy-2-carbethoxyazetidine","84.02"," 27477","1000283327","C7H13NO3","Butanedioic acid, cyclic hydrazide","81.85","  6469","502954","C4H6N2O2",".alpha.-Acetobutyrolactone","81.76"," 10967","517237","C6H8O3",0,0,0,0,57425
"220",221,1.9986,7,"Methyl vinyl ketone","97.41","   487","78944","C4H6O","1-Penten-3-one, 4-methyl-","96.28","  2933","1606479","C6H10O","Acrylic acid isoamyl ester","96.17"," 17730","4245356","C8H14O2","Methyl vinyl ketone","96.01","   484","78944","C4H6O","2-Propenoic acid, pentyl ester","95.31"," 17790","2998234","C8H14O2","1-Hexen-3-one","94.68","  2854","1629603","C6H10O","1-Hepten-3-one","94.19","  5885","2918130","C7H12O","1-Penten-3-one, 4-methyl-","94.09","  2919","1606479","C6H10O","Oxirane, 2-(1,1-dimethylethyl)-3-methyl-","93.71","  6984","53897306","C7H14O","Oxetane, 3-(1-methylethyl)-","93.69","  3598","10317176","C6H12O",0,0,0,0,0
"221",222,1.993,5,"Cyclobuta[1,2-d","83.75"," 35866","110549423","C6H4O6","Cyclobutanecarboxamide, N,N-dibutyl-","83.36"," 61606","1000308596","C13H25NO","1-Deoxy-2,4","82.25"," 27955","75096376","C7H12O4","1,3,5-benzenetricarboxylic acid, tris[2-[(1-oxo-2-propen-1-yl)oxy]ethyl] ester","81.63","179987","1000402931","C24H24O12","Diethylaminoethyl acrylate","80.33"," 35299","2426542","C9H17NO2","Diethylaminoethyl acrylate","79.86"," 35302","2426542","C9H17NO2","Nadolol, triacetate (ester)","79.29","172709","1000280765","C23H33NO7","N-Methoxy-2-carbethoxyazetidine","78.85"," 27477","1000283327","C7H13NO3","2(3H)-Furanone, dihydro-3-(3-methylbutyl)-","78.69"," 26161","40541411","C9H16O2",".alpha.-Acetobutyrolactone","77.14"," 10966","517237","C6H8O3",0,0,0,0,0
"222",223,2.0128,9,"N-Methoxy-2-carbethoxyazetidine","89.74"," 27477","1000283327","C7H13NO3","Pyrrolidine-2,5-dione, 1-[4-(4-motpholylsulfonyl)phenyl]-","86.18","132905","112167369","C14H16N2O5S","3-[N-[2-[5-Diethylamino]pentyl]-1-cyclopentenylamino]propionitrile","85.96","104450","1000255531","C17H31N3","1,3,5-Triazine-1,3,5(2H,4H,6H)-triethanol","85.61"," 66816","4719044","C9H21N3O3","2-Propenoic acid, 3-[4-(4-morpholinylsulfonyl)phenyl]-, methyl ester","85.22","125416","1000351332","C14H17NO5S","6-(Morpholine-4-sulfonyl)-2-oxo-benzooxazole-3-carboxylic acid ethyl ester","85.19","149618","1000275309","C14H16N2O7S","2(3H)-Furanone, 3-butyldihydro-","85.16"," 17808","19340568","C8H14O2","4-(3-Nitro-benzenesulfonyl)-morpholine","85.06","100914","1000296727","C10H12N2O5S","[2-Methyl-4-(morpholine-4-sulfonyl)phenoxy]acetic acid, methyl ester","84.97","136152","1000304451","C14H19NO6S","Benzenesulfonamide, 4-(4-morpholylsulfonyl)-","84.70","122201","55619448","C10H14N2O5S2",0,0,0,0,0
"223",224,2.1837,4,"N-Methoxy-2-carbethoxyazetidine","91.02"," 27477","1000283327","C7H13NO3","Pyrrolidine-2,5-dione, 1-[4-(4-motpholylsulfonyl)phenyl]-","88.76","132905","112167369","C14H16N2O5S","6-(Morpholine-4-sulfonyl)-2-oxo-benzooxazole-3-carboxylic acid ethyl ester","88.45","149618","1000275309","C14H16N2O7S","(4-Ethoxy-benzylidene)-[4-(morpholine-4-sulfonyl)-phenyl]-amine","87.99","157157","315248909","C19H22N2O4S","2-Propenoic acid, 3-[4-(4-morpholinylsulfonyl)phenyl]-, methyl ester","87.64","125416","1000351332","C14H17NO5S","[2-Methyl-4-(morpholine-4-sulfonyl)phenoxy]acetic acid, methyl ester","87.40","136152","1000304451","C14H19NO6S","Morpholine, 4-[[4-ethoxy-3-(1-methylpropyl)phenyl]sulfonyl]-","87.08","134852","1000337702","C16H25NO4S","Benzenesulfonamide, 4-(4-morpholylsulfonyl)-","87.01","122201","55619448","C10H14N2O5S2","Acetic acid, 2-(4-morpholinosulfonylphenyl)-, methyl ester","86.97","118086","213325292","C13H17NO5S","2(1H)-pyridinone, 3-hydroxy-1-methyl-5-(4-morpholinylsulfonyl)-","85.95","102295","1000397043","C10H14N2O5S",0,0,0,0,0
"224",225,2.035,4,"(S)-(+)-Isoleucinol","95.00","  7857","24629252","C6H15NO","l-2-Amino-3-methyl-1-pentanol","94.11","  7873","1000235337","C6H15NO","dl-2-Amino-1-hexanol","87.51","  7859","5665747","C6H15NO","1,2-Ethylenedithiocyanate","82.57"," 18461","1000340670","C4H4N2S2","Tetrahydropyrrole-3-ol-5-carboxylic acid, 1-acetyl-, methyl ester","82.50"," 45331","1000128671","C8H13NO4","Urea, (aminoiminomethyl)-","81.65","  3856","141833","C2H6N4O","Pentanedioic acid","81.23"," 12915","110941","C5H8O4","1-Pentanol, 2-amino-4-methyl-, (.+/-.)-","79.53","  7879","16369178","C6H15NO","N-(Morpholin-4-carbothioyl)acetamide","79.36"," 45925","79556471","C7H12N2O2S","Pentanedioic acid","79.10"," 12912","110941","C5H8O4",0,0,0,0,0
"225",226,1.9867,3,"Decane, 4-methylene-","94.64"," 24473","24949415","C11H22","Hexane, 1-methoxy-","94.32","  7663","4747073","C7H16O","Hexane, 1-methoxy-","93.70","  7655","4747073","C7H16O","2-Ethyl-cyclohexylamine","92.97"," 10803","24216908","C8H17N","Vigabatrin","92.19"," 11647","60643869","C6H11NO2","2,3-Dimethylcyclohexylamine","92.17"," 10815","42195926","C8H17N","Propane-1,3-diamine, 2-t-butyl-","91.70"," 12330","56041828","C7H18N2","1H-Tetrazole, 5-methyl-","89.97","  1203","4076362","C2H4N4","2,3-Dimethylcyclohexylamine","89.82"," 10811","42195926","C8H17N","Cyclooctanamine","89.55"," 10794","5452379","C8H17N",0,0,0,0,0
"226",227,1.945,3,"N-Acryloylmorpholine","91.87"," 17121","5117124","C7H11NO2","Isobutyl acrylate","91.13"," 11035","106638","C7H12O2","Isobutyl acrylate","91.09"," 11034","106638","C7H12O2","2-Propenamide, N,N-di-2-propenyl-","91.05"," 22499","3085685","C9H13NO","N-Acryloylmorpholine","91.04"," 17123","5117124","C7H11NO2","Tetrazolo[1,5-b]1,2,4-triazine, 5,6,7,8-tetrahydro-6,7-dimethyl-","90.76"," 24565","1000259053","C5H10N6","Isobutyl acrylate","90.52"," 11033","106638","C7H12O2","Isobutyl acrylate","90.30"," 11032","106638","C7H12O2","2-Nonene","89.89"," 10428","2216388","C9H18","5-Decene, (E)-","89.45"," 16306","7433569","C10H20",0,0,0,0,0
"227",228,2.1833,3,"trans--4-Nonene","94.25"," 10446","10405853","C9H18","cis-4-Nonene","94.11"," 10438","10405842","C9H18","Tetrazolo[1,5-b]1,2,4-triazine, 5,6,7,8-tetrahydro-6,7-dimethyl-","93.78"," 24565","1000259053","C5H10N6","4-Nonene","93.48"," 10427","2198234","C9H18","Isobutyl acrylate","93.31"," 11032","106638","C7H12O2","5-Decene, (E)-","93.11"," 16306","7433569","C10H20","Isobutyl acrylate","93.01"," 11035","106638","C7H12O2","Isobutyl acrylate","92.98"," 11034","106638","C7H12O2","Cyclopentanone","92.96","  1275","120923","C5H8O","Isobutyl acrylate","92.64"," 11033","106638","C7H12O2",0,0,0,51567,0
"228",229,2.2,2,"Decane, 4-methylene-","92.44"," 24469","24949415","C11H22","2-Oxepanone, 7-methyl-","91.25"," 11046","2549599","C7H12O2","3-Undecene, 4-methyl-","90.93"," 33128","74630685","C12H24","Formic acid, hexyl ester","90.83"," 12168","629334","C7H14O2","Heptane, 4-methylene-","90.41","  6104","15918088","C8H16","1-Hexanol","90.29","  4085","111273","C6H14O","Formic acid, hexyl ester","90.22"," 12160","629334","C7H14O2","Nonane, 4-methylene-","90.17"," 16333","33717918","C10H20","1-Hexanol","90.07","  4087","111273","C6H14O","N-Acryloylmorpholine","89.97"," 17121","5117124","C7H11NO2",0,0,0,0,0
"229",230,2.1225,2,"dl-2-Amino-1-hexanol","96.15","  7859","5665747","C6H15NO","Cyclobuta[1,2-d","94.90"," 35866","110549423","C6H4O6","N,N''-[1,4-Butanediylbis[oxy]bis[4-methyl-6,8-quinolinediylaminohexyl-N,N-diethylamine)","94.86","183532","1000213062","C44H68N6O2","3-Buten-1-amine, N,N-diethyl-","94.85"," 10820","15431057","C8H17N","2-(2-Diethylamino-ethoxy)-fluoren-9-one","94.85","115753","54153310","C19H21NO2","Cyclohexyl-hydroxy-phenyl-acetic acid 3-diethylamino-2-hydroxy-propyl ester","94.77","152961","1000274371","C21H33NO4","Diethylaminoethyl acrylate","94.73"," 35302","2426542","C9H17NO2","Cyclobutanecarboxylic acid, 2-diethylaminoethyl ester","94.63"," 53294","1000331113","C11H21NO2","Diethyl-(6-m-tolyloxy-hexyl)-amine","94.54"," 95476","331857955","C17H29NO","4-[[2-[Diethylamino]ethyl]methylamino]-7-nitrobenzofurazan","94.51","114349","1000251029","C13H19N5O3",0,0,0,0,0
"230",231,2.034,10,"Methacrolein","97.99","   468","78853","C4H6O","Methacrolein","97.48","   456","78853","C4H6O","Methacrolein","97.09","   463","78853","C4H6O","Methacrolein","96.94","   462","78853","C4H6O","2-Butenal","96.47","   451","4170303","C4H6O","Furan, 2,5-dihydro-","95.77","   489","1708298","C4H6O","2-Butenal, (E)-","95.72","   477","123739","C4H6O","(Z)-1,3-Butadien-1-ol","95.27","   493","70415586","C4H6O","Furan, 2,3-dihydro-","94.80","   486","1191997","C4H6O","Furan, 2,3-dihydro-","94.30","   483","1191997","C4H6O",0,0,0,0,0
"231",232,1.9775,2,"L-Proline, ethyl ester","97.72"," 18248","5817265","C7H13NO2","3,7-Dimethyl-1,7-octadien-3-amine","97.68"," 23620","77984566","C10H19N","2,7-Dimethyl-1,7-octadien-3-amine","97.65"," 23622","77984577","C10H19N","L-Proline, ethyl ester","97.64"," 18247","5817265","C7H13NO2","(R)-(-)-2-Pyrrolidinemethanol","97.54","  3792","68832133","C5H11NO","(S)-(+)-2-Pyrrolidinemethanol","97.50","  3791","23356969","C5H11NO","(S)-(+)-2-Pyrrolidinemethanol","97.48","  3794","23356969","C5H11NO","(S)-(+)-2-(Methoxymethyl)pyrrolidine","97.47","  7222","63126476","C6H13NO","Proline","97.44","  7083","147853","C5H9NO2","dl-Proline","97.37","  7088","609369","C5H9NO2",0,0,0,0,0
"232",233,2.005,3,"1,3-Dioxolane, 2-(1,1-dimethylethyl)-","99.22"," 12258","2568298","C7H14O2","1-(2-Methoxyethoxy)-2-methyl-2-propanol, methyl ether","99.12"," 29251","1000364244","C8H18O3","1,3-Dioxolane, 2-ethyl-","99.08","  3955","2568969","C5H10O2","1,3-Dioxolane, 2-heptyl-","99.06"," 35399","4359573","C10H20O2","1,3-Dioxolane, 2-(1-methylethyl)-","99.04","  7537","822833","C6H12O2","1,3-Dioxolane, 2-pentadecyl-","99.02","109054","4360570","C18H36O2","1,3-Dioxolane, 2-butyl-","98.98"," 12157","4360763","C7H14O2","1,3-Dioxolane, 2-(6-heptynyl)-","98.90"," 32703","25595828","C10H16O2","Butane, 2,3-dimethoxy-2-methyl-","98.87"," 13104","74421004","C7H16O2","1,3-Dioxolane, 2-(1-methylpropyl)-","98.87"," 12238","14447257","C7H14O2",0,0,0,0,168716
"233",234,1.91,2,"1,3-Dioxolane, 2-pentadecyl-","97.47","109054","4360570","C18H36O2","Benzeneacetonitrile, .alpha.-[(1,3-dioxolan-2-ylmethoxy)imino]-","97.44"," 75490","74782233","C12H12N2O3","1,3-Dioxolane, 2-(1,1-dimethylethyl)-","97.42"," 12258","2568298","C7H14O2","1,3-Dioxolane, 2-heptyl-","97.39"," 35399","4359573","C10H20O2","1,3-Dioxolane-2-methanol","97.30","  4339","5694688","C4H8O3","1,3-Dioxolane, 2-(6-heptynyl)-","97.26"," 32703","25595828","C10H16O2","1,3-Dioxolane, 2-(1-phenylethyl)-","97.19"," 39091","4362225","C11H14O2","1,3-Dioxolane, 2-(1-phenylethyl)-","97.19"," 39086","4362225","C11H14O2","1,3-Dioxolane, 2-butyl-","97.18"," 12157","4360763","C7H14O2","4-[1,3]Dioxolan-2-yl-3,4-dimethyl-cyclohex-2-enone","97.14"," 51197","54710166","C11H16O3",0,0,0,0,0
"234",235,1.97,2,"Propane, 1,1-dimethoxy-","94.77","  4432","4744109","C5H12O2","Propane, 1,1-dimethoxy-","93.42","  4437","4744109","C5H12O2","Hexane, 1-(1-ethoxyethoxy)-","87.04"," 36647","54484730","C10H22O2","1,3-Dioxan-5-ol","85.50","  4328","4740787","C4H8O3","Pentane, 1-(1-ethoxyethoxy)-","84.84"," 28172","13442892","C9H20O2","3-(1-Ethoxy-ethoxy)-butan-1-ol","83.47"," 29246","82614877","C8H18O3","6-Ethyl-4,5,7,8-tetrathianonane","83.38"," 73663","126876300","C7H16S4","Propane, 1-(1-ethoxyethoxy)-","83.16"," 13087","20680108","C7H16O2","Acethydrazide, N2-[4-(thiitan-3-yloxy)benzylideno]-","82.80"," 86819","1000263327","C12H14N2O2S","Butane, 1-(1-ethoxyethoxy)-","82.46"," 19854","57006878","C8H18O2",0,0,0,0,0
"235",236,2.1817,43,"Acetic acid","99.74","   242","64197","C2H4O2","Hydrazine, 1,2-dimethyl-","99.71","   260","540738","C2H8N2","Hydrazine, 1,2-dimethyl-","99.62","   258","540738","C2H8N2","Ammonium acetate","99.35","   894","631618","C2H7NO2","D-(-)-threo-2-Amino-1-(p-nitrophenyl)-1,3-propanediol","99.32"," 62786","716610","C9H12N2O4","2H-1,2-Oxazine, tetrahydro-2-methyl-6-phenyl-","99.30"," 38610","15769898","C11H15NO","Methyl formate","99.25","   247","107313","C2H4O2","Acetic acid, methoxy-","99.23","  2086","625456","C3H6O3","Methyl formate","99.21","   249","107313","C2H4O2","Carbonyl sulfide","99.13","   279","463581","COS",2037770,1484867,0,0,1189393
"236",237,2.4317,3,"Methyl formate","99.53","   247","107313","C2H4O2","Methyl formate","99.48","   249","107313","C2H4O2","Hydrazine, 1,2-dimethyl-","99.46","   260","540738","C2H8N2","Carbonyl sulfide","99.44","   279","463581","COS","Hydrazine, 1,2-dimethyl-","99.32","   258","540738","C2H8N2","Methyl formate","99.31","   248","107313","C2H4O2","Carbonyl sulfide","99.27","   278","463581","COS","2H-1,2-Oxazine, tetrahydro-2-methyl-6-phenyl-","99.07"," 38610","15769898","C11H15NO","Acetic acid","98.81","   242","64197","C2H4O2","D-(-)-threo-2-Amino-1-(p-nitrophenyl)-1,3-propanediol","98.70"," 62786","716610","C9H12N2O4",0,0,0,0,0
"237",238,2.0928,9,"Methyl formate","97.85","   247","107313","C2H4O2","Hydrazine, 1,2-dimethyl-","97.77","   260","540738","C2H8N2","Methyl formate","97.76","   249","107313","C2H4O2","Carbonyl sulfide","97.74","   279","463581","COS","Hydrazine, 1,2-dimethyl-","97.70","   258","540738","C2H8N2","Methyl formate","97.64","   248","107313","C2H4O2","Carbonyl sulfide","97.52","   278","463581","COS","2H-1,2-Oxazine, tetrahydro-2-methyl-6-phenyl-","97.17"," 38610","15769898","C11H15NO","D-(-)-threo-2-Amino-1-(p-nitrophenyl)-1,3-propanediol","96.81"," 62786","716610","C9H12N2O4","Acetic acid","96.67","   242","64197","C2H4O2",0,0,0,0,0
"238",239,1.9775,2,"Ethanethioamide","84.15","   818","62555","C2H5NS","Ethanethioamide","82.71","   817","62555","C2H5NS","Ethanethioamide","79.30","   816","62555","C2H5NS","Formamide, N-methylthio","78.56","   819","18952415","C2H5NS","3-Isopropylsulfanyl-1-(4-nitro-phenyl)-pyrrolidine-2,5-dione","78.31","114784","1000295376","C13H14N2O4S","Disulfide, bis[1-(methylthio)ethyl]","77.38"," 63844","69078779","C6H14S4","Propanoic acid, 2,3-dihydroxy-","76.26","  4567","473814","C3H6O4","4,5-Bis-dimethoxymethyl-octanedioic acid, dimethyl ester","75.91","147080","1000193639","C16H30O8","Methylal","75.89","   855","109875","C3H8O2","Methylal","75.84","   854","109875","C3H8O2",0,0,0,0,0
